Designator,Mid X,Mid Y,Rotation,Layer
C1,114.203108,-58.983202,90.0,top
C10,116.771147,-50.771147,90.0,top
C11,128.466181,-50.96113,90.0,top
C12,125.410615,-50.935539,90.0,top
C13,132.0,-60.0,270.0,top
C14,117.0,-59.0,270.0,top
C15,122.0,-54.0,0.0,top
C16,122.011962,-54.956986,0.0,top
C17,121.024923,-51.711721,90.0,top
C18,119.808602,-51.710361,90.0,top
C19,130.461764,-56.193751,180.0,top
C2,113.227032,-59.0,270.0,top
C20,111.52,-62.0,0.0,top
C3,115.148131,-58.983202,90.0,top
C4,122.0,-56.83507,0.0,top
C5,122.0,-55.890047,180.0,top
C6,121.976075,-58.725118,180.0,top
C7,121.988038,-57.780094,0.0,top
C8,124.0,-60.0,270.0,top
C9,118.185873,-50.750342,90.0,top
FB1,115.626624,-62.0,180.0,top
J1,107.35,-56.85,90.0,top
MIC1,122.73,-63.0,270.0,top
MIC2,130.73,-63.0,270.0,top
R1,125.0,-60.0,90.0,top
R10,129.0,-60.48,180.0,top
R11,111.472726,-58.076204,0.0,top
R12,111.490908,-53.093049,0.0,top
R13,111.460226,-55.611564,0.0,top
R14,111.471657,-56.837432,0.0,top
R2,130.958382,-59.991669,90.0,top
R3,130.461764,-57.281179,0.0,top
R4,130.506244,-58.405973,0.0,top
R5,131.0,-51.0,270.0,top
R6,123.19394,-50.922566,270.0,top
R7,125.410615,-52.935539,90.0,top
R8,128.466181,-52.96113,90.0,top
R9,122.05148,-60.553286,180.0,top
U1,116.95,-54.95,90.0,top
U2,126.903681,-55.32363,270.0,top
