Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1",SW_SPST_EVQP7A,2,SW_Push,
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery_Cell,
"C1, C3, C8",0402,3,0.1uF,
"C10, C2, C7",0402,3,10uF,
"C11, C12, C13",0805,3,22uF,
"C4, C5, C6",0603,3,10uF,
C9,0402,1,10pF,
D1,PinHeader_1x02_P2.00mm_Vertical,1,LED,
"D2, D3",0603,2,LED,
D5,D_SMA,1,SS14,
F1,1206,1,Fuse,
J1,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det1,
J2,PinHeader_2x09_P2.54mm_Vertical,1,Camera Module,
J3,JST_GH_SM09B-GHS-TB_1x09-1MP_P1.25mm_Horizontal,1,Conn_01x09_Socket,
J4,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,MIC 1 Connector,
J5,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,MIC 2 Connector,
J6,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J7,PinHeader_1x04_P2.54mm_Vertical,1,OLED,
L1,L_Bourns-SRN4018,1,1uH,
Q1,SOT-23,1,AO3401A,
"R1, R11, R12",0402,3,10k,
"R10, R23, R8, R9",0402,4,22,
"R13, R14",0402,2,1k,
R15,0402,1,0.4,
R16,0402,1,560k,
R17,0402,1,4.7k,
"R18, R24",0402,2,100k,
R19,0402,1,1M,
"R2, R3, R4, R5, R6, R7",0402,6,47k,
"R21, R22",0402,2,5.1k,
SW1,SW_SPDT_PCM12,1,SW_SPST,
"TP1, TP2, TP3",PinHeader_1x01_P2.54mm_Vertical,3,TestPoint,
"TP4, TP5, TP6, TP9",TestPoint_Pad_1.0x1.0mm,4,TestPoint,
U1,ESP32-S3-WROOM-2,1,ESP32-S3-WROOM-2,
U2,Texas_S-PWSON-N10_ThermalVias,1,TPS63060,
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
USER_INPUT1,SW_SPST_TL3342,1,SW_Push,
